row,Date,Speaker,Process,Recipient,codeString
829,507,C,R,GT,TP1.000
830,507,X,R,UC,TP1.000
831,507,C,R,GT,TP1.000
832,507,R,R,GT,OF1.000
834,507,C,R,UC,OF1.000
835,507,X,R,C,OF1.000
836,507,H,R,UC,OF1.000
837,507,X,R,C,OF1.000
838,507,R,R,C,OF1.000
839,507,H,R,GT,OF1.000
840,507,R,R,H,OF1.000
841,507,X,R,R,OF1.000
842,507,H,R,GT,OF1.000
843,507,X,R,R,OF1.000
844,507,R,R,X,TP1.000
845,507,X,R,R,TP1.000
846,507,R,R,X,TP1.000
847,507,C,R,R,OF1.000
848,507,R,R,X,OF1.000
849,507,C,R,GT,OF1.000
851,507,H,R,GT,OF1.000
852,507,C,R,GT,OF1.000
853,507,C,R,GT,OF1.000
855,507,R,R,C,OF1.000
856,507,H,R,GT,OF1.000
857,507,R,R,H,OF1.000
858,507,H,R,R,OF1.000
859,507,C,R,H,IE1.000
860,507,R,R,H,TP1.000
861,507,C,R,H,OF1.000
862,507,X,R,C,OF1.000
863,507,C,R,X,OF1.000
864,507,X,R,C,OF1.000
865,507,H,R,GT,OF1.000
866,507,X,R,GT,0.333EAIEOF
867,507,R,R,X,IE1.000
868,507,C,R,GT,IE1.000
869,507,R,R,C,0.500IETP
870,507,X,R,GT,TP1.000
871,507,X,R,C,TP1.000
872,507,R,R,C,0.333IEKSTP
873,507,C,R,R,IE1.000
874,507,R,R,C,TP1.000
875,507,C,R,R,TP1.000
877,507,H,UC,C,TP1.000
878,507,R,UC,C,TP1.000
879,507,X,UC,C,TP1.000
880,507,R,UC,C,TP1.000
882,507,C,UC,X,TP1.000
883,507,H,R,GT,IE1.000
884,507,R,UC,C,TP1.000
885,507,C,UC,X,0.333EAIETP
885,507,C,UC,X,OF1.000
886,507,H,UC,X,TP1.000
887,507,C,UC,X,TP1.000
888,507,X,UC,C,UC1.000
889,507,C,UC,X,TP1.000
890,507,X,UC,C,IE1.000
891,507,R,UC,C,TP1.000
892,507,C,UC,X,TP1.000
893,507,X,UC,C,TP1.000
895,507,X,UC,C,TP1.000
897,507,X,UC,C,TP1.000
898,507,C,UC,X,TP1.000
